,name,Fall 2015 acceptance rate,,
1,Princeton University,5.00%,,
2,Harvard University,5.00%,,
3,Yale University,6.00%,,
4,Columbia University,6.00%,,
4,Stanford University,6.00%,,
4,University of Chicago,7.00%,,
7,Massachusetts Institute of Technology,7.00%,,
8,Duke University,8.00%,,
8,University of Pennsylvania,8.00%,,
10,California Institute of Technology,9.00%,,
11,Dartmouth College,9.00%,,
12,Johns Hopkins University,9.00%,,
13,Northwestern University,10.0%,,
14,Washington University in St. Louis,10.0%,,
15,Cornell University,10.0%,,
16,Brown University,11.00%,,
16,University of Notre Dame,11.00%,,
16,Vanderbilt University,12.00%,,
19,Rice University,12.00%,,
20,University of California - Berkeley,12.00%,,
21,Emory University,12.00%,,
21,Georgetown University,13.00%,,
23,University of California - Los Angeles,13.00%,,
23,University of Virginia,13.00%,,
25,Carnegie Mellon University,13.00%,,
25,University of Southern California,13.00%,,
27,Tufts University,14.00%,,
27,Wake Forest University,14.00%,,
29,University of Michigan - Ann Arbor,15.00%,,
30,University of North Carolina - Chapel Hill,15.00%,,
31,Boston College,15.00%,,
32,New York University,15.00%,,
33,College of William and Mary,16.00%,,
33,University of Rochester,16.00%,,
35,Brandeis University,16.00%,,
35,Georgia Institute of Technology,17.00%,,
37,University of California - San Diego,17.00%,,
38,Case Western Reserve University,17.00%,,
38,University of California - Davis,17.00%,,
40,Lehigh University,17.00%,,
40,University of California - Santa Barbara,17.00%,,
42,Boston University,18.00%,,
42,Northeastern University,18.00%,,
42,Rensselaer Polytechnic Institute,18.00%,,
42,University of California - Irvine,20.0%,,
42,University of Illinois - Urbana-​Champaign,20.0%,,
47,University of Wisconsin - Madison,21.00%,,
48,Pennsylvania State University - University Park,21.00%,,
48,University of Florida,21.00%,,
48,University of Miami,21.00%,,
48,University of Washington,22.00%,,
48,Yeshiva University,22.00%,,
53,University of Texas - Austin,22.00%,,
54,George Washington University,22.00%,,
54,Ohio State University - Columbus,22.00%,,
54,Pepperdine University,23.00%,,
54,Tulane University,23.00%,,
58,Fordham University,24.00%,,
58,Southern Methodist University,24.00%,,
58,Syracuse University,24.00%,,
58,University of Connecticut,24.00%,,
62,Brigham Young University - Provo,24.00%,,
62,Clemson University,24.00%,,
62,Purdue University - West Lafayette,25.00%,,
62,University of Georgia,25.00%,,
62,University of Maryland - College Park,25.00%,,
62,University of Pittsburgh,25.00%,,
68,Texas A&M University - College Station,25.00%,,
68,Worcester Polytechnic Institute,26.00%,,
70,"Rutgers, The State University of New Jersey - New Brunswick",26.00%,,
71,American University,26.00%,,
71,Baylor University,26.00%,,
71,University of Iowa,27.00%,,
71,University of Minnesota - Twin Cities,28.00%,,
71,Virginia Tech,28.00%,,
76,Clark University,28.00%,,
76,Indiana University - Bloomington,29.00%,,
76,Marquette University,29.00%,,
76,Miami University - Oxford,29.00%,,
76,Stevens Institute of Technology,29.00%,,
76,SUNY College of Environmental Science and Forestry,30.0%,,
76,Texas Christian University,30.0%,,
76,University of Delaware,30.0%,,
76,University of Massachusetts - Amherst,30.0%,,
85,Michigan State University,30.0%,,
85,University of California - Santa Cruz,30.0%,,
85,University of Vermont,30.0%,,
88,Binghamton University - SUNY,31.00%,,
88,Colorado School of Mines,31.00%,,
88,Stony Brook University - SUNY,31.00%,,
88,University of Alabama,31.00%,,
88,University of Colorado - Boulder,32.00%,,
88,University of Denver,32.00%,,
88,University of Tulsa,32.00%,,
95,Drexel University,32.00%,,
95,Florida State University,32.00%,,
95,North Carolina State University - Raleigh,32.00%,,
95,University of San Diego,32.00%,,
99,Saint Louis University,32.00%,,
99,University of Missouri,32.00%,,
99,University of Nebraska - Lincoln,,,
99,University of New Hampshire,,,
103,Auburn University,,,
103,University at Buffalo - SUNY,,,
103,University of Dayton,,,
106,Iowa State University,,,
106,Loyola University Chicago,,,
106,University of Kansas,,,
106,University of Oklahoma,,,
106,University of Oregon,,,
106,University of San Francisco,,,
106,University of Tennessee,,,
113,University of California - Riverside,,,
113,University of South Carolina,,,
113,University of St. Thomas,,,
116,The Catholic University of America,,,
116,Duquesne University,,,
116,Illinois Institute of Technology,,,
116,Michigan Technological University,,,
116,University of the Pacific,,,
121,Clarkson University,,,
121,Colorado State University,,,
121,DePaul University,,,
121,Temple University,,,
121,University of Arizona,,,
126,"Rutgers, The State University of New Jersey - Newark",,,
126,Seton Hall University,,,
126,University at Albany - SUNY,,,
129,Arizona State University - Tempe,,,
129,Louisiana State University - Baton Rouge,,,
129,Ohio University,,,
129,University of Cincinnati,,,
129,University of Kentucky,,,
129,University of Utah,,,
135,Hofstra University,,,
135,New School,,,
135,University of Arkansas,,,
138,George Mason University,,,
138,Missouri University of Science & Technology,,,
138,Oregon State University,,,
138,Washington State University,,,
142,Illinois State University,,,
142,Kansas State University,,,
142,St. John Fisher College,,,
145,Howard University,,,
145,Oklahoma State University,,,
145,St. John's University,,,
145,University of Texas - Dallas,,,
149,Adelphi University,,,
149,New Jersey Institute of Technology,,,
149,San Diego State University,,,
149,University of Alabama - Birmingham,,,
149,University of Illinois - Chicago,,,
